,Key,Business function,Copilot,Industry,Month,Publication date,Customer,Vendor,Business need,Solution,AI technologies,Results,Other details,Source,Financial effect,Scenario,Scenario Impact level,Scenario Implementation Effort level
63,64,Marketing Manager,Analytics Copilot,IT,,,Salesforce,Tableau/Salesforce,"Understanding marketing’s true contribution to sales attainment. Attribution requires stitching together data from multiple sources, applying nuanced definitions like marketing-driven pipeline (MDP), and then translating it all into insights that business users can act on. Traditionally, this work demanded significant time and the expertise of dedicated analysts.",Tableau Next,"NLP-модели, LLM, Semantic modeling","- Marketers save hours previously spent navigating dashboards or pulling reports. 
- analysts are freed from answering ad-hoc questions, giving them time to focus on deeper, more complex analysis that scales their impact.
- Leaders gain clarity on attribution and MDP faster than ever—empowering smarter, data-driven decisions at scale.",,https://www.tableau.com/solutions/customer/tableau-next-transforms-data-action-marketing-customer-success-sales,,Marketing analytics,,
64,65,Cross-functional,Analytics Copilot,Automotive,,,SimplyFleet,Text2SQL.ai,"SimplyFleet's reporting lived in separate modules (maintenance, fuel, trips). Users who needed combined views (e.g., ""show all expenses last month across trips + maintenance + fill-ups"") had to export multiple reports and stitch them together. They considered a traditional drag-and-drop BI builder, but it felt complex for end-users and heavy to implement. They wanted a conversational, flexible experience that kept product control in-app without buying an expensive, bundled dashboard platform.",Text2SQL.ai,LLM,"Over 110+ organizations used AI reporting within the first month.
Support: Only 4–5 report-assist tickets total; most queries worked out-of-the-box.
Friction: Minimal—launch video + in-product prompts drove immediate use.",SMB,https://www.text2sql.ai/case-study-simplyfleet,,Report generation,High,
65,66,"Development 
Data Analytics",Analytics Copilot,Financial Services,,2025.0,Т-Банк,Т-Банк,"- Ускорить работу с данными (написание SQL‑запросы, скрипты для ETL)
- уменьшать зависимость от узких специалистов в команде
- быстрее находить нужную информацию
- создавать ИТ‑решения без долгих согласований
- упрощать взаимодействие с Data Platform на этапах анализа, разработки и внедрения",AI Data assistant,LLM,"3 000 разработчиков и аналитиков использовали AI -Data
Аналитики извлекают нужные им таблицы с помощью AI -Data","AI‑ассистент помогает помогает писать и править SQL‑запросы, генерирует релевантные скрипты для ETL и отвечает на аналитические вопросы прямо в контексте работы с данными",AI‑решения для разработчиков,,"Generating SQL queries,Table search",Medium,
66,67,Сбер,Analytics Copilot,Financial Services,,2024.0,Сбер,Сбер,"Руководству, менеджерам, бизнес‑аналитикам необходимо использовать аналитику при принятии решений. Но не все из них знают SQL и могут работать с инструментами для анализа данных. Нужен  инструмент, позволяющий обрабатывать данные на естественном языке.",AI DataChat,LLM GigaChat‑Pro (30b-8k),Упрощает работу с данными для сотрудников,,https://habr.com/ru/companies/sberbank/articles/875306/,,"Generating SQL queries,Table search",Medium,
68,69,Management,Analytics Copilot,Retail,,2025.0,X5 Group,Easyreport.ai,"В X5 уже была построена собственная аналитическая платформа в контуре, но была не закрыта потребность в  доступе к аналитике через мобильные устройства и корп. мессенджер (особенно актуально для полевых сотрудников и быстрые поиск данных на совещаниях). ",Easyreport.ai,"NLP-модели, LLM","Скорость получения информации - 2-3 сек
MAU пользователей - х117 раз c 2024 по 2025 г",,https://docs.google.com/document/d/1hUDXnbaNZRM7gI45m3WVtKnd00YB5Pbv4UOQyybvEg8/edit?usp=sharing,,"Sales analysis,Mobile analitics",High,
70,71,Data Analytics,Analytics Copilot,Social platforms,,2024.0,Pinterest,,Writing queries to solve analytical problems is the core task for Pinterest’s data users. Finding the right data and translating an analytical problem into correct and efficient SQL code can be challenging tasks in a fast-paced environment with significant amounts of data spread across different domains. identifying the correct tables amongst the hundreds of thousands in our data warehouse is actually a significant challenge for users.,,"NLP-модели, LLM","First-shot acceptance rate for the generated SQL - 40%
35% improvement in task completion speed for writing SQL queries.
The table search hit rate increased up to 90%",,How we built Text-to-SQL at Pinterest | by Pinterest Engineering | Pinterest Engineering Blog | Medium,,"Generating SQL queries,Table search",Medium,
71,72,Data Analytics,Analytics Copilot,Social platforms,,2024.0,LinkedIn,,Data experts spend a significant amount of their time helping colleagues find data they need – time that could be spent on complex analysis and strategic initiatives.,SQL Bot,LLM,"~95% of usersrated SQL Bot’s query accuracy “Passes” or above, and ~40% rated the query accuracy “Very Good” or “Excellent”.
The “Fix with AI” feature has very high usage—accounting for 80% of our sessions—frequently saving users time in debugging their queries.",,Practical Text-to-SQL for Data Analytics,,"Generating SQL queries,Table search",Medium,
72,73,"Management
Data Analytics",Analytics Copilot,Food Delivery,,2024.0,Swiggy,,"Improved data accessibility, 
Enhanced decision-making speed, 
Efficiency and productivity: streamline the process of querying data, saving time and effort for users",Hermes,LLM,average response time of <2 minutes,,https://bytes.swiggy.com/hermes-a-text-to-sql-solution-at-swiggy-81573fb4fb6e,,"Product metric analysis,Distribution metric analysis,Post-release validation",,
73,74,Finance,Analytics Copilot,Automotive,,2025.0,Uber,,financial analysts and accountants sift through vast data sets to support real-time decision-making. Traditional data access—often involving complex SQL queries across multiple platforms—creates delays that can impact critical financial insights.,Finch,LLM,finance teams receive real-time insights with minimal latency and maximum reliability.,,https://www.uber.com/en-IN/blog/unlocking-financial-insights-with-finch/,,Financial Statement,High,
74,75,"Management
Risk department ",Analytics Copilot,Financial Services,,2025.0,NBIM,Anthropic,The ability for managers to do query  Snowflake data warehouse and analyze earnings calls with unprecedented efficiency,Claude,LLM,"achieved ~20% productivity gains - equivalent to 213,000 hours",,https://www.anthropic.com/news/claude-for-financial-services,,"Investment analysis,Risk analysis",,
75,76,Cross-functional,Corporative Copilot,IT,,2024.0,CDW,Microsoft,CDW can enhance customer service through firsthand experience and accelerate clients' AI journeys.,Microsoft Business Copilot,GenAI,"88% of users report that Copilot helps them improve their work quality, and 77% say that they complete tasks more quickly",10 000 copilot users,https://www.microsoft.com/en/customers/story/19101-cdw-corporation-microsoft-365,,"email/messages summaries,meeting summaries,document compilation,document analysis",High,
76,77,Sales,Corporative Copilot,IT,,2024.0,Insight Canada,Microsoft,Insight wanted to translate its own experiences to accelerate its clients’ AI journeys,Microsoft Business Copilot,GenAI,respond to customer requests for proposals (RFPs) about 50% more quickly,4600 copilot users,https://www.microsoft.com/en/customers/story/1797709165933196148-insight-canada-microsoft-copilot-for-microsoft-365-other-en-united-states,,document compilation,High,
77,78,Cross-functional,Corporative Copilot,Airline,,,AirAsia,Yellow.ai,"AirAsia’s Ground Operations management aimed to provide its global employees with an efficient, seamless, and sustainable ready-reckoner for quick queries and FAQs to serve their guests at the airport better.",Yellow.ai platform,"GenAI, RAG",Swiftly access precise information sourced from several ground operation manuals and thousands of valid information bulletins spanning thousands of pages with AI-bot,,https://yellow.ai/case-study/airasia/,,Knowledge base search,High,
78,79,Sales,Corporative Copilot,Telecommunications,,2025.0,Nomad eSIM,Google,Quickly preparing initial drafts of standard procedures and documents for sales,Gemini,GenAI,15% increase in sales close rate and saved 10% of the Operations team's time in drafting SOPs.,,https://cloud.google.com/transform/101-real-world-generative-ai-use-cases-from-industry-leaders,,document compilation,High,
79,80,Cross-functional,Corporative Copilot,IT,,2025.0,Parseur,Google,extraction data from emails and PDFs at scale,Gemini,GenAI,The company attributed 36.2% of overall revenue to Google Cloud AI services and grew its customer base by 50.4% year-on-year,"a Singapore-based AI document processing platform with four team members supporting more than 50,000 users",https://cloud.google.com/transform/101-real-world-generative-ai-use-cases-from-industry-leaders,,data extraction from documents,,
80,81,Cross-functional,Corporative Copilot,Social platforms,,2025.0,Humanizadas,Google,Automation of the classification of online comments as toxic or those that identify people,Gemini,GenAI,The time required for operational processes was reduced by 95%.,,https://cloud.google.com/transform/101-real-world-generative-ai-use-cases-from-industry-leaders,,"identifying toxic comments,data extraction from documents",,
81,82,Cross-functional,Corporative Copilot / HR Copilot,Financial Services,,2025.0,JPMorgan Chase,-,"Employees often spend significant time on repetitive and manual tasks, such as drafting reports, generating presentations, or analyzing routine data. The bank needed a solution to assist employees in managing workloads, accessing insights quickly, and fostering innovation across departments.",Generative AI tools,GenAI,"Increased Productivity, Time Savings
Enhanced Collaboration across teams and locations
","Content Generation: Generative AI tools create high-quality drafts for reports, emails, presentations, and other business documents, saving employees time and effort.
Data Insights: AI analyzes data to deliver insights, helping employees make quick, informed decisions.
Collaboration Enhancement: AI platforms enable real-time collaboration by summarizing meetings, tracking tasks, and sharing knowledge.
Personalized Assistance: AI-powered virtual assistants offer customized support, addressing employee queries and guiding internal processes.",https://digitaldefynd.com/IQ/jp-morgan-using-ai-case-study/,,"document compilation,text generation,text data analysis,meeting summaries,presentation generation",High,
82,83,Cross-functional,Corporative Copilot,Business Services,,2024.0,Cintas,Google,to develop an internal knowledge center that will empower its employee-partners to more quickly and easily source key information that elevates the Cintas customer experience,Vertex AI Search,"GenAI, RAG","A more personalized customer experience
Searching for answers to customers' questions and resolving issues more quickly.",,https://www.cintas.com/newsroom/details/news/2024/04/11/cintas-builds-generative-ai-powered-internal-knowledge-center-with-google-cloud/,,Knowledge base search,High,
83,84,"Cross-functional
Sales 
Support",Corporative Copilot,Manufacturing,,2025.0,Sandvik,Microsoft,Quickly access decades of company knowledge using natural language for employees and customers,"Microsoft Azure OpenAI Service, Azure AI Search","GenAI, RAG","Saving time for employees to 20% to 30%
50% less time to onboard new salespeople",,https://www.microsoft.com/en/customers/story/22965-sandvik-azure-open-ai-service,,Knowledge base search,High,
84,85,Cross-functional,Corporative Copilot,Financial Services,,2025.0,Wells Fargo,Google,"To help employees answer, triage, and summarize complex foreign exchange post-trade inquiries.
Identifying contracts with specific clauses among 25000 documents
Real-time market insights.","Gemini Enterprise, NotebookLM, ","GenAI, RAG, AI-agents",-,,https://cloud.google.com/blog/topics/financial-services/wells-fargo-agentic-ai-agentspace-empowering-workers,,"multimodal search,document analysis",,
85,86,Analytics,Corporative Copilot,Financial Services,,2025.0,Deutsche Bank,Google,"Analysts would sift through and gather data from financial statements, regulatory filings, and industry reports. This is a very time-consuming process, it limits the depth of analysis and the range of topics they can cover.The goal was to enhance the research analyst experience and reduce the reliance on manual processes and outsourcing.",DB Lumina agent/ Gemini,"GenAI, RAG, AI-agents","Analyst time savings: 30 to 45 minutes on preparing earnings note templates and up to two hours when writing research reports and roadshow updates.
Increased analysis depth: an analyst increased the analysis in an earnings report by 50%, adding additions sections by region and activity
Increased editorial and grammatical accuracy in reports","1. Gen AI-powered chat
2. Prompt templates
3. RAG: internal research, external unstructured data",https://cloud.google.com/blog/topics/financial-services/deutsche-bank-delivers-ai-powered-financial-research-with-db-lumina,,"report compilation,text editing,document analysis,Knowledge base search",High,
86,87,Audit,Corporative Copilot,Utilities,,2025.0,AES,Google,"AES dedicates more than 1,500 safety management program audits annually. Each audit takes approximately 100 employee hours to complete. AES needed this process to be at least 100 times faster than a human",Anthropic’s Claude models / Vertex AI,"GenAI, RAG, AI-agents","Reduces costs of audits by 99%
Accelerates audit results from 14 days to one hour
Doubles annual audit capacity
Increases audit accuracy by up to 20%",,https://cloud.google.com/customers/aes,,"document analysis,report compilation",High,
87,88,Cross-functional,Corporative Copilot,Healthcare,,2024.0,MediTech,Google,To reduce the workload of administrative tasks for employees,"Google WorkSpace, Gemini Enterprise",,7 hours weekly saving,,https://youtu.be/wfDJgOs8fBQ?si=nuP30tXwET95qyHB,,"meeting summaries,text editing",High,
88,89,Cross-functional,Corporative Copilot,Energy industry,,2024.0,Enerjisa Üretim,Microsoft,Reducing administrative work and increasing employees mental bandwidth,Microsoft Copilot,GenAI,"Spending 60% less time for Creating a 30-page budget presentationwith. Previously, it required 2 days of work by a 3-person team, with copilot only one person to do this.
Enerjisa Üretim gained quick access to objective, efficient recaps of meetings and action items.",,https://www.microsoft.com/en/customers/story/1762150085964970175-enerjisa-uretim-microsoft-copilot-energy-en-turkiye,,"meeting summaries,report compilation,presentation generation,reformating documents",High,
89,90,Cross-functional,Corporative Copilot,Energy industry,,2025.0,HELLENiQ ENERGY,Microsoft,Boosting productivity and saving time on routine tasks,Microsoft 365 Copilot / Copilot Studio,GenAI,"70% of users reported increased productivity. 
Tasks like identifying, processing and sharing the right information are completed 29% faster. 
Users caught up on missed meetings nearly four times faster and reduced email handling time by 64%.",,https://www.microsoft.com/en/customers/story/24670-helleniq-energy-microsoft-365-copilot,,"email processing,meeting summaries,document analysis,Knowledge base search",High,
90,91,Cross-functional,Corporative Copilot,Mining industry,,2025.0,Ma’aden,Microsoft,Ma’aden aims to deliver a remarkable 10x increase in EBITDA by 2040. But talent availability and the highly competitive job market remain a big challenge.,"Microsoft 365 Copilot, Copilot Studio и Azure OpenAI Service ",GenAI,"users saving up to 2,200 hours monthly",,https://www.microsoft.com/en/customers/story/21514-maaden-microsoft-365-copilot,,"email processing,document compilation,text data analysis,presentation generation,Document summarization and retrieval,Knowledge base search",High,
91,92,"Cross-functional
PR 
Sales",Corporative Copilot,Petrochemical industry,,2024.0,Petrochemical Industries Company (PIC),Microsoft,"Digital transformation, with a focus on intelligent automation.",Microsoft Copilot,GenAI,"Reduction in document preparation time (requests for proposals and quotations) from one week to one day.
Reduction in speech drafting time from one day to 5 min.
Company-wide correspondences sound and look more professional,",,https://www.microsoft.com/en/customers/story/1776965075841351020-petrochemical-industries-company-microsoft-365-energy-en-kuwait,,"documents compilation,text generation,text editing",High,
92,93,Cross-functional,Corporative Copilot,Financial Services,,2024.0,BCI,Microsoft,To transform business operations and support employee efficiency,Microsoft Copilot,GenAI,"BCI increased productivity by 10%-20% for 84% of Copilot users and increased their job satisfaction by 68%. The business saved more than 2,300 person-hours with automation, reduced the time spent on writing internal audit reports by 30% and saved one month of processing time to analyze 8,000 survey comments.",,https://www.microsoft.com/en/customers/story/18816-british-columbia-investment-management-corporation-microsoft-365-copilot,,"audit reports compilation,meeting summaries,text data analysis,text editing,Knowledge base search",High,
93,94,Cross-functional,Corporative Copilot,Financial Services,,2025.0,"""Commercial Bank of Dubai, CBD""",Microsoft,to enhance productivity and empower employees to achieve more in less time,Microsoft Copilot,GenAI,"CBD saves 39,000 hours per year, streamlining workflows, improving collaboration and employee experience
Using Copilot to generate PowerPoint presentations from Excel data, cutting up to 12 hours per week on manual reporting.
15 hours per month saved by the Board Secretary",900 users,https://www.microsoft.com/en/customers/story/24341-commercial-bank-of-dubai-microsoft-365-copilot,,"meeting summaries,email processing,Document summarization and retrieval,text generation,presentation generation",High,
94,95,Cross-functional,Corporative Copilot / HR Copilot,Consulting,,2023.0,McKinsey,-,"search and synthesis of the firm’s vast stores of knowledge to bring our best insights, quickly and efficiently, to clients.",Lilli bot,GenAI,"Reduced 20 percent of time preparing for meetings, it improves the quality of presentation.",,https://www.mckinsey.com/about-us/new-at-mckinsey-blog/meet-lilli-our-generative-ai-tool,,"tutor on new topics,thought-sparring partner,Knowledge base search",,
95,96,Cross-functional,Corporative Copilot,Financial Services,,2025.0,ATB Financial,Google,introduction of innovations,"Google WorkSpace, Gemini",GenAI,"40% of our team members who were using Gemini used it at least once a day, every day, and saved about two hours per week",5000 users,https://workspace.google.com/blog/customer-stories/supercharging-employee-experience-and-reducing-routine-work-gemini-atb-financial,,"brainstorm,fast access to formulas in Google Sheets",,
96,97,"Cross-functional
Marketing, CX, support teams, sales,
Finance, IT, engineering, legal",Corporative Copilot,IT,,2025.0,Databricks,Grammarly,Challenge: manually reviewing every corporate and customer-facing communication.  Editorial capacity was stretched thin.,Grammarly Business,"NLP, GenAI","1994% ROI, $1.4M in annual savings, 1.2 month payback period
Grammarly has helped reduce editing time by 50%, saving 540 hours per year, increased the average number of support cases resolved by 10%–15%, and decreased time to resolution by 25%.
Integrating Grammarly into hiring and onboarding, driving nearly $8,000 in employee productivity gains and saving $50,000 annually in soft skills training.",,https://www.grammarly.com/business/learn/how-databricks-saves-1-4m-annually-with-grammarly/,,"text editing,soft skills training,employee onbording,brand suggestions ",,
97,98,Cross-functional,Corporative Copilot,IT,,2025.0,Smartsheet,Grammarly,"Smartsheet requires clear, concise, and professional communication across email, chat, and multiple other channels",Grammarly Business,"NLP, GenAI","283% ROI, 1600 hours saved annually",,https://www.grammarly.com/business/learn/smartsheet/,,"text editing,brand suggestions ,text generation",High,
98,99,Cross-functional,Corporative Copilot,Healthcare,,2025.0,MemorialCare,Grammarly,"The organization struggled to maintain clear, professional, and consistent communication across departments. ",Grammarly Business,"NLP, GenAI","20% days saved per employee per year
$10K annual savings per employee",,https://www.grammarly.com/business/learn/memorialcare/,,text editing,High,
99,100,Clinical study reports writers,Corporative Copilot,Pharmaceutical industry,,2025.0,Novo Nordisk,Anthropic,"Documentation was a critical bottleneck. Clinical study reports can run 300 pages, and staff writers averaged just 2.3 reports annually. Each day of delay costs up to $15 million in potential revenue. ",NovoScribe/Claude,"NLP, GenAI",90% reduction in writing time: documentation that took 10+ weeks now takes 10 minutes. Device verification protocols that previously required entire departments need just one user. Review cycles dropped 50% as quality improved.,,https://www.anthropic.com/news/driving-ai-transformation-with-claude,,"Knowledge base search,report compilation",High,
100,101,Cross-functional,Corporative Copilot,Agriculture,,2025.0,Neolait,Salesforce,"The time-consuming, and repetitive task of constantly writing and updating thousands of product descriptions on their website",Salesforce Einstein 1 Commerce,"NLP, GenAI","Neolait saved companies hours on writing tasks, improved content performance, and ensured it could adhere to regulatory compliance standards with minimal effort.",,https://www.uctoday.com/collaboration/ai-copilots-success-stories-how-copilots-are-transforming-workplaces/,,text generation,High,
101,102,Cross-functional,Corporative Copilot,Financial Services,,,Super.com,Glean,"Knowledge are scattered across multiple platforms, making it harder for employees to find the information they needed. The task is to make knowledge easier to find.",Glean search,"NLP, GenAI","17x ROI from time saving
Employees found information 20 minutes faster per day, saving more than 1,500 hours monthly. ",,https://www.glean.com/resources/customer-stories/super,,Knowledge base search,High,
102,103,Real estate agents,Corporative Copilot,Real estate,,2025.0,Gazelle,Google,reduced sales content generation time,Gemini,GenAI,"Gazelle increased output accuracy from 95% to 99.9%, reduced content generation time from four hours to 10 seconds",,https://cloud.google.com/transform/101-real-world-generative-ai-use-cases-from-industry-leaders,,"extracting information from documents,text generation",High,
103,104,Cross-functional,Corporative Copilot,Electronics,,2025.0,Toshiba,Microsoft,"Toshiba's goals are to achieve sales of 3.75 trillion yen and an operating margin (ROS) of 10% by the fiscal year ending March 31, 2027.
Business process transformation is the key for increasing profit potential. ",Microsoft Copilot,GenAI,"Savings of 5.6 hours/month per employee
Reduction in survey response processing time from 3 months to 1 day.",10000 users,https://www.microsoft.com/en/customers/story/23123-toshiba-corporation-microsoft-viva-insights,,"presentation generation,meeting summaries",High,
104,105,,,,1.0,2025.0,МТС Справка,MWS AI,"PoC, вопросы по базе знаний на сайте https://support.mts.ru/
Рисерчили внешний рынок (Яндекс, Автофак), заинтересовало наше решение как приоритетное, если качество ответов будет хорошим

Требовалась предобработка вопроса с LLM для более точного поиска","Что сделано в рамках PoC (LLMINT-27):

осуществлен парсинг данных с сайта (более 1000 статей)
реализован rag pipeline на стенде http://10.203.4.43:8922/
Итог - устроило качество, но не устроила скорость ответа (текущая - более 5 секунд на ответ)",,Качество верных ответов 76%,,,,"RAG,Расп-е текста на изображ(OCR),Суммаризация",,
105,106,,,,1.0,2025.0,Алроса,MWS AI,Поиск по документам со специфической терминологией (геология) https://docs.google.com/document/d/1puQT9RLrt3wgrJZHUn1evpEmlqoHCQyJ/edit#heading=h.gjdgxs,"Настроили стенд в стримлите http://10.203.4.41:8503/

На стенде два типа ответов:

гибридный поиск, где vector retriever - chromadb, а FTS retriever - BM25. (веса 0,3+0,7)
гибридный поиск, где FTS retriever также BM25, а векторный выполняется в два этапа: а) формирование более общего вопроса на основе вопроса пользователя. б) векторный поиск по более общему вопросу. Далее также (0,7+0,3)",,"Для оценки заказчик прислал 9 вопросов.
Треть оценили как верные, примерно 50% как с погрешностью/трудно оценить",,,,"Суммаризация,RAG,Расп-е текста на изображ(OCR)",,
106,107,,,,1.0,2025.0,Воксис,MWS AI,"PoC
Первая задача - нужен был стенд с ответами на типичные вопросы соискателей
Вторая задача (появилась позднее) - вывести ответы в формат чата с сохранением истории, прикинуться  HR-ом Кариной","1. Сделан индекс на данных от заказчика, поднят стенд в стримлите https://docqa-voxys.dev.mts.ai/
2. На основе п.1 сделали чат. Завели в ТГ для получения ID пользователя. В итоге внутри общаются три бота: 1)общается с пользователем, следит за контекстом и историей 2)ходит в РАГ и умеет подкидывать релевантные куски 3)занимается только тем, что решает нужно ли идти в РАГ или нет.
https://t.me/voooxsBot

Все три бота работают внутри ТГ, осталась возможность кастомизации, на ответ влияет история диалога.",,"Качество ответов на стенде примерно 81% верных
качество в боте не оценивали",,,,RAG,,
107,108,,,,1.0,2025.0,Минфин,MWS AI,"Автороспись писем по департаментам. На входе письма в pdf, которые по содержанию нужно отнести к адресату - соответствующему департаменту внутри Минфина","Стенд в стримлит https://docqa-minfin-letters.dev.mts.ai/
анализируем содержание письма, строим предположение к какому набору характеристик может относиться, ищем близкий результат, выдаем название департамента
также вывели краткое содержание проанализированного письма в UI",,Примерно 21% верных соотнесений,,,,"Суммаризация,RAG,Расп-е текста на изображ(OCR),Классификация",,
108,109,,,,1.0,2025.0,Уралсиб,MWS AI,классифкацию запросов,"промпты на классификацию, несоклько итераций",,около 60,,,,Классификация,,
109,110,,,,1.0,2025.0,ВСК,MWS AI,"Классификатор запросов КЦ, извлечение сущностей

Извлечение сущностей","промпты на классификацию, несоклько итераций, проспты на извлечение",,около 60,,,,Классификация,,
110,111,,,,1.0,2025.0,дом.рф банк,MWS AI,искать в инсталляции на площадке дом.рф в конструкторе RAG,передан образ пустого RAG,,до 97%,,,,,,
114,115,,,,1.0,2025.0,Почта-банк,MWS AI,,"Подняли стенд, дали доступ Заказчику. Обновляли 1 раз индекс и пайплайн для улучшения результатов",,"Сначала были печальные результаты по тестам Заказчиком:
Всего – 57 запроса.
Корректно – 12
Некорректно – 30
Частично корректно – 15

Потом мы изменили пайплайн и улучшили результаты, заказчик ушел тестировать и вернулся с:
Всего протестирован 89 запросов:
Корректно — 28;
Частично —28;
Некорректно – 33.",,,,,,
116,117,,,,1.0,2025.0,Skillazz,MWS AI,Написание резюме и скриннинг вакансий,"Дали доступ к 70В модели 1. Модель 70b - интерфейс будет доступен через web.
Адрес интерфейса: https://cotype5.dev.mts.ai/
Адрес API Endpoint (раздел 7 документации): https://demo5-fundres.dev.mts.ai
API_KEY: eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJlbWFpbCI6InIubXVsbGEtZ2FpYW5vdkBza2lsbGF6LnJ1In0.fKGsWN9SrhFkGYs8zhoSLybWs_xYLIrx7kAjLPRpsas",,Качество работы модели закзачика удовлетворило,,,,,,
118,119,,,,1.0,2025.0,МТС Тревел,MWS AI,Поисковый индекс по постам тг-каналов (выгрузке),"Индекс на 2 стендах, передан доступ по апи",,нет,,,,"RAG,Суммаризация,Генерации json",,
119,120,,,,1.0,2025.0,IPSOS,MWS AI,"Кодификацтор опросов ОМ, генератор кодификаторов",Промптинг,,"95% качество классификации, сравнение с эатоном",,,,,,
120,121,,,,1.0,2025.0,Честный знак,MWS AI,"Вопрос-ответная система по документации

Предобработка вопроса","Поисковый индекс по открытым данным и данным заказчика, несоклько итераций",,нет,,,,"RAG,Суммаризация,Генерации json",,
121,122,,,,1.0,2025.0,НЛМК,MWS AI,"Систему, которая по БД умеет строить SQL-запросы на основе ввода на естественном языке",Большой проект с промптингом,,нет,,,,,,
122,123,,,,1.0,2025.0,СИБУР,MWS AI,"Систему, которая по БД умеет строить SQL-запросы на основе ввода на естественном языке",Большой проект с промптингом,,нет,,,,,,
123,124,,,,1.0,2025.0,MWS,MWS AI,RAG-конструктор разной наполненности,Разные сборки с данными индекса,,нет,,,,,,
124,125,,,,1.0,2025.0,MWS,MWS AI,Генератор документа RCA на основе данных о решении инцидентов,Промптинг,,нет,,,,,,
125,126,,,,1.0,2025.0,РСХБ,MWS AI,"Воспрос-ответная система по ТП на сонвое выгрузки, несколько раз менялись данные",Аналитика,,нет,,,,,,
127,128,,,,2.0,2025.0,Фармперспектива,MWS AI,"Автоматизировать написание тест-кейсов для тестирования своих систем на 1С

Генерация большого объема текста на основе имеющихся данных, не придумывая новое (то есть не можем отнести к брейнштормингу и креативному письму)","Реализация: пользователь загружает документацию системы, по которой необходимо сформировать тест-кейсы

Процесс генерации разбит на шаги: загрузка, утверждение черновика, финальная сборка документа с тест-кейсами

В интерфейс выведена настройка промптов, чтобы заказчик сам могу учесть новые пожелания

Настроена аутентификация в кейклок",,Запрошен фидбек от специалистов 1С заказчика,,,,"Суммаризация,Расп-е текста на изображ(OCR),""Распознавание графиков, диаграм, таблиц"",Распоз элементов интерфейса",,
128,129,,,,2.0,2025.0,РСХБ,MWS AI,Автоматизировать классификацию подсервисов для обращений в ТП,"Список подсервисов вынесен в structrured output с возможностью редактирования в UI

Одиночная и массовая классификация

",,"Оценка точности - примерно 60%
Полнота - пересчитать",,,,Классификация,,
129,130,,,,2.0,2025.0,МТС ИИ Продсаппорт,MWS AI,Автоматизировать назначение готовых статей для неразобранных тикетов в поддержке,"Стенд для соотнесения тикетов, поступающий в ТП с базой готовых статей, массовый прогон",,"Точность первой итерации - 41%
Полноту не оценивали",,,,Классификация,,
130,131,,,,2.0,2025.0,MOMRA,MWS AI,Чат с поиском по документу,"Пользователь может загрузить любые pdf/excel документы

После индексации пользователю становится доступен чат по сформированной базе знаний.  Сохраняется история диалога и можно задавать уточняющие вопросы.",,Точно не оценивали,,,,"RAG,Суммаризация,Расп-е текста на изображ(OCR),""Распознавание графиков, диаграм, таблиц"",Распоз элементов интерфейса",,
131,132,,,,2.0,2025.0,БТБ ИИ Маркетплейс,MWS AI,"Проверить возможно ли создать качественное для генерации смм контента, видимо для продаж как готовое решение","Генерация контент-планов и постов с возможность указать параметры (ЦА, категория бизнеса, частота публикации, каналы и пр.)

В UI вынесены промпты для возможности доп. настроек",,Точно не оценивали,,,,"Креативное письмо,Бреиншторминг (способность генерации новых идей)",,
132,133,,,,2.0,2025.0,МГТ,MWS AI,"Автоматизировать направление обращений в нужные службы

Предобработка запроса, остальное на ML","Промпты с извлечением сути проблемы из жалобы
Предобработка и формирование датасета из текста жалобы + заполненных пользователем категорий: объект, категория объекта

Метод ближайших соседей, где текст нового обращения сравнивается с уже размеченными примерами
Стратифицированная кросс-валидация (Stratified K-Fold), цель – проверить устойчивость модели и исключить влияние случайного разбиения данных

В индексе 10 000 примеров классифицированных обращений

12 категорий классификации",,"Точность новой классификации методом ""ближайших соседей"" - примерно 80%

Перепроверка с помощью Стратифицированная кросс-валидация - примерно 75%",,,,,,
133,134,,,,3.0,2025.0,Акрихин,MWS AI,"Автоматизировать поиск по внутренней документации

Предобработка запроса и обогащение с помощью заполнения словаря","Создано 4 отдельных индекса по категориям знаний, поиск с выбором конретного из списка или по всем. Поддерживается вывод картинок из документов (без распознавания).

Из-за специфики домена создан словарь ассоциативных терминов и сокращений. При поиске пользовательский запрос обогащается найденными ассоциациями для улучшения точности поиска",,"Не замеряли, планируем передать тренерам",,,,"Суммаризация,RAG,Расп-е текста на изображ(OCR),""Распознавание графиков, диаграм, таблиц""",,
134,135,,,,3.0,2025.0,Черноголовка,MWS AI,Автоматизировать поиск по внутренней документации,"Создан общий индекс по предоставленной документации.
Поддерживается индексация новых документов из интерфейса.",,"Провели самостоятельную оценку качества по методике тренеров - Черноголовка / Оценка ответов
Верные - 82%",,,,"Суммаризация,RAG",,
